date,abbreviation_canton_and_fl,current_isolated,current_quarantined
2020-07-08,AG,76,249
2020-07-07,AI,0,0
2020-07-07,AR,4,13
2020-07-07,BE,38,140
2020-07-07,BL,15,64
2020-07-07,BS,8,16
2020-07-07,FL,2,0
2020-07-07,FR,40,129
2020-07-07,GE,16,61
2020-07-07,GL,1,0
2020-07-07,JU,25,496
2020-07-07,LU,21,64
2020-07-07,NE,3,80
2020-07-07,NW,0,3
2020-07-07,OW,1,4
2020-07-07,SG,56,268
2020-07-07,SH,4,6
2020-07-07,SO,18,656
2020-07-07,SZ,26,69
2020-07-07,TG,11,28
2020-07-07,TI,21,82
2020-07-07,UR,11,28
2020-07-07,VS,26,90
2020-07-07,ZG,16,61
2020-07-07,ZH,181,914
