date,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,f60-69,f70-79,f80+,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80+
2020-03-27,0,0,0,1,0,3,4,19,50,0,0,0,0,1,2,13,28,76
2020-03-28,0,0,0,1,0,4,4,23,62,0,0,0,0,1,3,14,35,88
2020-03-29,0,0,0,1,0,4,4,24,70,0,0,0,0,1,3,14,41,95
2020-03-30,0,0,0,2,0,4,5,27,79,0,0,0,0,1,3,20,51,103
2020-03-31,0,0,0,2,0,5,7,32,99,0,0,0,0,1,5,22,66,134
2020-04-01,0,0,0,2,0,5,6,34,88,0,0,0,0,1,5,26,64,147
2020-04-02,0,0,0,2,0,5,9,35,105,0,0,0,0,1,6,28,75,166
2020-04-03,0,0,0,2,0,5,9,37,123,0,0,0,0,1,8,29,81,188
2020-04-04,0,0,0,2,0,5,10,38,139,0,0,0,0,1,8,33,90,213
2020-04-05,0,0,0,2,0,5,10,39,144,0,0,0,1,1,7,36,95,218
2020-04-06,0,0,0,2,0,5,10,42,151,0,0,0,1,1,9,36,96,230
2020-04-07,0,0,0,2,0,6,13,46,174,0,0,0,1,1,9,37,102,248
2020-04-08,0,0,0,2,0,6,15,48,192,0,0,0,1,1,10,40,114,275
2020-04-09,0,0,0,2,0,6,16,49,208,0,0,0,2,1,11,45,123,292
2020-04-10,0,0,0,2,0,7,16,52,234,0,0,0,2,1,11,47,126,306
2020-04-11,0,0,0,2,0,7,16,54,245,0,0,0,2,1,12,47,128,316
2020-04-12,0,0,0,2,0,7,16,57,252,0,0,0,2,1,12,49,131,328
2020-04-13,0,0,0,2,0,7,16,58,262,0,0,0,2,1,12,50,134,340
2020-04-14,0,0,0,2,0,7,16,61,270,0,0,0,2,1,12,51,135,342
2020-04-15,0,0,0,2,0,7,17,70,291,0,0,1,2,1,13,53,143,372
