date,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,f60-69,f70-79,f80+,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80+
2020-03-28,6,3,20,26,33,81,78,137,161,9,6,29,34,63,125,145,192,183
2020-03-29,6,3,21,30,41,88,86,149,189,9,6,31,38,66,135,157,205,205
2020-03-30,6,4,21,30,46,94,95,159,199,9,8,34,39,75,156,174,229,228
2020-03-31,6,5,21,32,50,104,108,171,221,10,9,40,42,85,183,195,259,249
2020-04-01,6,6,21,34,56,114,117,185,237,11,11,42,45,91,201,210,289,275
2020-04-02,6,6,22,36,58,120,132,199,254,12,12,46,48,94,215,230,312,298
2020-04-03,6,6,23,39,62,125,140,219,320,12,13,46,49,98,225,268,365,377
2020-04-04,6,6,23,40,63,126,149,234,333,13,14,49,50,103,235,277,378,391
2020-04-05,6,6,23,42,65,130,156,239,345,13,15,53,51,105,239,291,396,398
2020-04-06,6,6,23,43,67,136,163,253,365,14,16,53,52,111,256,306,412,415
2020-04-07,6,7,23,43,68,141,165,258,372,14,16,53,53,113,262,310,420,422
2020-04-08,6,7,23,44,72,146,171,264,387,16,16,54,54,116,271,317,435,441
2020-04-09,7,7,24,46,76,148,177,273,401,16,16,62,54,119,283,329,453,463
2020-04-10,7,7,24,46,81,155,178,282,415,16,17,66,56,124,294,338,464,485
2020-04-11,8,7,24,48,81,158,182,289,423,16,17,70,60,125,298,344,471,494
2020-04-12,8,7,24,48,81,159,184,293,428,16,17,71,60,128,299,347,475,498
2020-04-13,8,7,24,48,81,159,184,295,433,16,18,71,62,128,300,353,476,505
2020-04-14,8,7,24,49,82,161,185,298,439,16,20,75,64,131,303,358,482,510
2020-04-15,8,7,26,50,85,163,188,307,449,16,20,75,64,135,306,364,491,527
2020-04-18,7,7,25,45,81,160,186,307,454,11,21,70,58,135,302,362,496,525
2020-04-19,7,7,25,45,81,161,187,307,459,11,21,71,58,135,303,364,496,528
2020-04-20,7,7,26,45,81,163,188,310,463,11,21,71,61,136,306,368,499,537
2020-04-21,7,7,27,46,82,162,188,313,471,11,21,71,62,138,310,371,501,547
2020-04-22,7,7,27,47,83,166,191,326,479,11,21,72,63,138,317,376,514,554
2020-04-23,7,8,27,49,85,170,196,332,488,11,22,72,63,140,321,382,522,561
2020-04-24,7,8,28,50,85,170,198,335,494,11,22,72,63,141,326,383,526,565
2020-04-25,7,8,28,52,84,170,200,337,499,11,22,72,63,143,330,386,528,567
2020-04-26,7,9,28,52,84,170,200,336,507,11,21,71,63,143,330,387,530,571
2020-04-27,7,9,28,52,84,171,201,336,509,11,21,71,63,143,330,388,530,573
2020-04-28,7,9,28,52,85,172,203,339,517,11,22,74,64,145,332,390,536,581
2020-04-29,7,9,28,51,88,176,208,346,521,12,22,76,67,151,336,399,542,590
2020-04-30,9,9,28,52,91,178,210,348,528,13,22,76,72,155,350,406,553,599
2020-05-01,9,9,28,52,91,178,210,348,531,13,22,76,72,154,348,407,552,600
2020-05-02,9,9,28,53,91,179,211,351,535,13,22,76,73,154,349,414,559,601
2020-05-03,9,9,28,54,92,179,211,352,538,13,22,76,73,154,349,414,559,601
2020-05-04,9,9,28,54,92,179,211,352,538,13,22,77,73,154,349,415,560,601
2020-05-05,10,9,28,54,92,181,211,352,538,13,22,77,73,155,349,415,561,601
2020-05-06,10,9,28,56,95,185,215,358,544,13,22,77,74,158,355,418,566,609
2020-05-07,10,9,28,56,96,186,216,360,544,13,22,77,74,160,357,421,568,610
2020-05-08,10,9,29,57,96,188,216,363,547,13,23,77,76,160,359,423,571,614
2020-05-09,10,9,29,57,96,188,216,363,548,13,23,77,77,160,359,425,572,614
2020-05-10,10,9,29,57,97,188,216,364,549,13,23,77,77,160,359,425,572,616
2020-05-11,10,9,30,57,96,189,216,364,550,13,23,77,77,161,359,425,572,616
2020-05-12,10,9,30,57,96,190,216,364,551,13,23,77,77,161,360,426,572,616
2020-05-13,10,9,30,58,96,190,217,364,554,13,23,79,77,161,360,426,572,618
2020-05-14,12,9,30,58,98,190,219,365,560,13,23,80,78,160,361,428,572,620
2020-05-15,12,10,30,58,98,190,219,366,560,13,23,80,78,160,361,429,572,623
2020-05-16,12,10,30,60,98,190,219,368,561,13,23,80,78,160,361,431,575,623
2020-05-17,12,10,30,60,98,190,219,368,561,13,23,80,78,160,361,431,576,624
